ID,Platform,Title,Company,Location,Description,Salary,PostedDate,JobType,Experience,IsRemote,IsFresher,URL
nextgen_python_developer_-_graduate_role,Dice,Python Developer - Graduate Role,NextGen,Remote,Entry-level Python development position with growth opportunities.,"$49,000 - $69,000",2025-06-17,Full-time,Entry Level,true,true,https://dice.com/job/53514
qualityfirst_python_developer_-_graduate_role_-_work_from_home,Dice,Python Developer - Graduate Role - Work from Home,QualityFirst,Remote,Join our Python team and work on data processing and web applications.,"$49,000 - $69,000",2025-06-17,Full-time,Entry Level,true,true,https://dice.com/job/98120
codecraft_qa_engineer_-_junior_level_(remote),ZipRecruiter,QA Engineer - Junior Level (Remote),CodeCraft,Remote,Join our QA team and help ensure our software meets high quality standards.,"$44,000 - $64,000",2025-06-14,Full-time,Entry Level,true,true,https://ziprecruiter.com/job/51683
devcorp_digital_marketing_associate_-_remote,ZipRecruiter,Digital Marketing Associate - Remote,DevCorp,Remote,Join our marketing team and help grow our online presence.,"$38,000 - $58,000",2025-06-21,Full-time,Entry Level,true,true,https://ziprecruiter.com/job/61736
webtech_data_analyst_-_new_graduate,Glassdoor,Data Analyst - New Graduate,WebTech,Remote,Entry-level data analyst position. Perfect for new graduates with basic SQL knowledge.,"$44,000 - $64,000",2025-06-21,Full-time,Entry Level,true,true,https://glassdoor.com/job/21454
webtech_python_developer_-_graduate_role_(remote),Monster,Python Developer - Graduate Role (Remote),WebTech,Remote,Graduate-level Python developer role. Ideal for recent graduates with Python knowledge.,"$44,000 - $64,000",2025-06-10,Full-time,Entry Level,true,true,https://monster.com/job/1042
nextgen_backend_developer_trainee_-_remote,SimplyHired,Backend Developer Trainee - Remote,NextGen,Remote,Entry-level backend developer role with mentorship and growth opportunities.,"$43,000 - $63,000",2025-06-10,Full-time,Entry Level,true,true,https://simplyhired.com/job/69851
techhub_frontend_developer_-_entry_level,AngelList,Frontend Developer - Entry Level,TechHub,Remote,Looking for a passionate frontend developer to help build amazing user interfaces.,"$45,000 - $65,000",2025-06-20,Full-time,Entry Level,true,true,https://angellist.com/job/17243
codecraft_junior_software_engineer_-_work_from_home,Monster,Junior Software Engineer - Work from Home,CodeCraft,Remote,Great opportunity for new graduates to start their software engineering career.,"$48,000 - $68,000",2025-06-16,Full-time,Entry Level,true,true,https://monster.com/job/27082
startupxyz_ui/ux_designer_-_entry_level,AngelList,UI/UX Designer - Entry Level,StartupXYZ,Remote,Join our design team and help create amazing user experiences.,"$44,000 - $64,000",2025-06-15,Full-time,Entry Level,true,true,https://angellist.com/job/927
digitaltech_frontend_developer_-_entry_level,Monster,Frontend Developer - Entry Level,DigitalTech,Remote,Looking for a passionate frontend developer to help build amazing user interfaces.,"$45,000 - $65,000",2025-06-10,Full-time,Entry Level,true,true,https://monster.com/job/85388
cloudbase_junior_software_engineer_-_remote,Glassdoor,Junior Software Engineer - Remote,CloudBase,Remote,Looking for a motivated junior developer to join our growing team. Training provided.,"$50,000 - $70,000",2025-06-17,Full-time,Entry Level,true,true,https://glassdoor.com/job/27878
dataflow_junior_software_engineer_(remote),Indeed,Junior Software Engineer (Remote),DataFlow,Remote,Looking for a motivated junior developer to join our growing team. Training provided.,"$48,000 - $68,000",2025-06-12,Full-time,Entry Level,true,true,https://indeed.com/job/13007
appworks_python_developer_-_graduate_role_(remote),Glassdoor,Python Developer - Graduate Role (Remote),AppWorks,Remote,Graduate-level Python developer role. Ideal for recent graduates with Python knowledge.,"$44,000 - $64,000",2025-06-18,Full-time,Entry Level,true,true,https://glassdoor.com/job/45006
pythonsoft_junior_software_engineer_-_remote,SimplyHired,Junior Software Engineer - Remote,PythonSoft,Remote,Great opportunity for new graduates to start their software engineering career.,"$50,000 - $70,000",2025-06-21,Full-time,Entry Level,true,true,https://simplyhired.com/job/5423
qualityfirst_junior_software_engineer,Dice,Junior Software Engineer,QualityFirst,Remote,Entry-level position for recent graduates. We welcome fresh talent to join our development team.,"$50,000 - $70,000",2025-06-20,Full-time,Entry Level,true,true,https://dice.com/job/62017
webtech_full_stack_developer_-_entry_level,Glassdoor,Full Stack Developer - Entry Level,WebTech,Remote,Entry-level full stack developer position. Learn both frontend and backend technologies.,"$50,000 - $70,000",2025-06-16,Full-time,Entry Level,true,true,https://glassdoor.com/job/58055
appworks_python_developer_-_graduate_role,Indeed,Python Developer - Graduate Role,AppWorks,Remote,Join our Python team and work on data processing and web applications.,"$49,000 - $69,000",2025-06-11,Full-time,Entry Level,true,true,https://indeed.com/job/80367
webbuilders_digital_marketing_associate,Indeed,Digital Marketing Associate,WebBuilders,Remote,Learn digital marketing strategies while working on real campaigns.,"$38,000 - $58,000",2025-06-12,Full-time,Entry Level,true,true,https://indeed.com/job/79419
devcorp_qa_engineer_-_junior_level,ZipRecruiter,QA Engineer - Junior Level,DevCorp,Remote,Junior QA engineer role for candidates with 0-1 years experience. Training provided.,"$44,000 - $64,000",2025-06-19,Full-time,Entry Level,true,true,https://ziprecruiter.com/job/42883
dataflow_full_stack_developer_-_entry_level_(remote),AngelList,Full Stack Developer - Entry Level (Remote),DataFlow,Remote,Join our development team and work on exciting full stack projects.,"$48,000 - $68,000",2025-06-10,Full-time,Entry Level,true,true,https://angellist.com/job/47846
softlab_junior_software_engineer,Dice,Junior Software Engineer,SoftLab,Remote,Great opportunity for new graduates to start their software engineering career.,"$45,000 - $65,000",2025-06-17,Full-time,Entry Level,true,true,https://dice.com/job/18220
prodev_digital_marketing_associate_-_remote,Monster,Digital Marketing Associate - Remote,ProDev,Remote,Entry-level digital marketing position. Great for recent marketing graduates.,"$35,000 - $55,000",2025-06-15,Full-time,Entry Level,true,true,https://monster.com/job/33183
webtech_junior_software_engineer_(remote),Indeed,Junior Software Engineer (Remote),WebTech,Remote,Entry-level position for recent graduates. We welcome fresh talent to join our development team.,"$48,000 - $68,000",2025-06-21,Full-time,Entry Level,true,true,https://indeed.com/job/6454
dataflow_javascript_developer_-_junior,Glassdoor,JavaScript Developer - Junior,DataFlow,Remote,Entry-level JavaScript role with opportunities to work on innovative projects.,"$47,000 - $67,000",2025-06-13,Full-time,Entry Level,true,true,https://glassdoor.com/job/48542
marketingpro_ui/ux_designer_-_entry_level,AngelList,UI/UX Designer - Entry Level,MarketingPro,Remote,Join our design team and help create amazing user experiences.,"$40,000 - $60,000",2025-06-20,Full-time,Entry Level,true,true,https://angellist.com/job/53752
digitalflow_frontend_developer_-_entry_level,SimplyHired,Frontend Developer - Entry Level,DigitalFlow,Remote,Entry-level frontend developer position. React experience preferred but not required.,"$45,000 - $65,000",2025-06-14,Full-time,Entry Level,true,true,https://simplyhired.com/job/94522
digitalflow_full_stack_developer_-_entry_level,ZipRecruiter,Full Stack Developer - Entry Level,DigitalFlow,Remote,Great opportunity for new developers to gain experience across the stack.,"$46,000 - $66,000",2025-06-11,Full-time,Entry Level,true,true,https://ziprecruiter.com/job/27676
innovatelab_digital_marketing_associate_-_work_from_home,ZipRecruiter,Digital Marketing Associate - Work from Home,InnovateLab,Remote,Learn digital marketing strategies while working on real campaigns.,"$38,000 - $58,000",2025-06-17,Full-time,Entry Level,true,true,https://ziprecruiter.com/job/99464
marketingpro_javascript_developer_-_junior,Dice,JavaScript Developer - Junior,MarketingPro,Remote,Entry-level JavaScript role with opportunities to work on innovative projects.,"$45,000 - $65,000",2025-06-21,Full-time,Entry Level,true,true,https://dice.com/job/80363
designhub_ui/ux_designer_-_entry_level,Monster,UI/UX Designer - Entry Level,DesignHub,Remote,Join our design team and help create amazing user experiences.,"$40,000 - $60,000",2025-06-18,Full-time,Entry Level,true,true,https://monster.com/job/64416
marketingpro_full_stack_developer_-_entry_level,Dice,Full Stack Developer - Entry Level,MarketingPro,Remote,Join our development team and work on exciting full stack projects.,"$50,000 - $70,000",2025-06-14,Full-time,Entry Level,true,true,https://dice.com/job/46604
smartsys_backend_developer_trainee,SimplyHired,Backend Developer Trainee,SmartSys,Remote,Entry-level backend developer role with mentorship and growth opportunities.,"$46,000 - $66,000",2025-06-17,Full-time,Entry Level,true,true,https://simplyhired.com/job/40436
qualityfirst_javascript_developer_-_junior,SimplyHired,JavaScript Developer - Junior,QualityFirst,Remote,Join our frontend team and help build interactive web applications.,"$43,000 - $63,000",2025-06-11,Full-time,Entry Level,true,true,https://simplyhired.com/job/20950
devstudio_qa_engineer_-_junior_level,Indeed,QA Engineer - Junior Level,DevStudio,Remote,Join our QA team and help ensure our software meets high quality standards.,"$40,000 - $60,000",2025-06-16,Full-time,Entry Level,true,true,https://indeed.com/job/36819
webbuilders_python_developer_-_graduate_role,SimplyHired,Python Developer - Graduate Role,WebBuilders,Remote,Graduate-level Python developer role. Ideal for recent graduates with Python knowledge.,"$49,000 - $69,000",2025-06-21,Full-time,Entry Level,true,true,https://simplyhired.com/job/86645
cloudbase_frontend_developer_-_entry_level,Monster,Frontend Developer - Entry Level,CloudBase,Remote,Entry-level frontend developer position. React experience preferred but not required.,"$47,000 - $67,000",2025-06-17,Full-time,Entry Level,true,true,https://monster.com/job/85359
devstudio_javascript_developer_-_junior,Dice,JavaScript Developer - Junior,DevStudio,Remote,Entry-level JavaScript role with opportunities to work on innovative projects.,"$45,000 - $65,000",2025-06-22,Full-time,Entry Level,true,true,https://dice.com/job/86425
devcorp_python_developer_-_graduate_role,AngelList,Python Developer - Graduate Role,DevCorp,Remote,Join our Python team and work on data processing and web applications.,"$44,000 - $64,000",2025-06-21,Full-time,Entry Level,true,true,https://angellist.com/job/59580
devstudio_digital_marketing_associate,Glassdoor,Digital Marketing Associate,DevStudio,Remote,Learn digital marketing strategies while working on real campaigns.,"$38,000 - $58,000",2025-06-21,Full-time,Entry Level,true,true,https://glassdoor.com/job/12720
nextgen_javascript_developer_-_junior,Indeed,JavaScript Developer - Junior,NextGen,Remote,Entry-level JavaScript role with opportunities to work on innovative projects.,"$43,000 - $63,000",2025-06-14,Full-time,Entry Level,true,true,https://indeed.com/job/31192
softlab_backend_developer_trainee,SimplyHired,Backend Developer Trainee,SoftLab,Remote,Join our backend team and learn from experienced developers.,"$46,000 - $66,000",2025-06-18,Full-time,Entry Level,true,true,https://simplyhired.com/job/80918
